iter	Passed	Remaining
0	1	186
1	3	163
2	4	153
3	6	145
4	7	140
5	8	138
6	10	136
7	11	134
8	12	131
9	14	129
10	15	128
11	17	126
12	19	130
13	20	127
14	22	124
15	23	122
16	24	119
17	25	116
18	26	114
19	27	111
20	29	109
21	30	107
22	31	104
23	32	102
24	33	100
25	34	98
26	35	97
27	37	95
28	38	93
29	39	91
30	40	89
31	41	88
32	42	86
33	43	85
34	44	83
35	46	82
36	47	80
37	48	79
38	49	77
39	50	76
40	51	74
41	52	72
42	53	70
43	54	69
44	55	68
45	57	66
46	58	65
47	59	64
48	60	62
49	61	61
50	62	60
51	63	59
52	65	57
53	66	56
54	66	54
55	68	53
56	69	52
57	70	50
58	71	49
59	72	48
60	73	47
61	75	45
62	76	44
63	77	43
64	78	42
65	79	40
66	80	39
67	81	38
68	82	37
69	84	36
70	85	34
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	99	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	107	11
90	108	10
91	109	9
92	110	8
93	112	7
94	113	5
95	114	4
96	115	3
97	116	2
98	118	1
99	119	0
