iter	Passed	Remaining
0	147	147288
1	148	73905
2	148	49424
3	149	37178
4	149	29833
5	150	24931
6	151	21430
7	151	18803
8	152	16760
9	152	15125
10	153	13788
11	153	12674
12	154	11731
13	155	10924
14	155	10223
15	156	9609
16	156	9067
17	157	8585
18	157	8157
19	158	7769
20	159	7416
21	159	7095
22	160	6800
23	160	6530
24	161	6281
25	161	6052
26	162	5841
27	162	5645
28	163	5461
29	163	5289
30	164	5128
31	164	4977
32	165	4835
33	165	4702
34	165	4576
35	166	4457
36	166	4344
37	167	4237
38	167	4137
39	168	4040
40	168	3949
41	169	3862
42	169	3779
43	170	3701
44	170	3625
45	171	3553
46	171	3484
47	172	3417
48	172	3354
49	173	3292
50	173	3234
51	174	3177
52	174	3122
53	175	3071
54	175	3021
55	176	2972
56	176	2925
57	177	2879
58	177	2835
59	178	2792
60	178	2751
61	179	2711
62	179	2672
63	180	2634
64	180	2598
65	181	2563
66	181	2528
67	182	2495
68	182	2463
69	183	2431
70	183	2400
71	183	2371
72	184	2343
73	185	2315
74	185	2287
75	185	2260
76	186	2234
77	186	2209
78	187	2184
79	187	2160
80	188	2136
81	188	2113
82	189	2088
83	189	2067
84	190	2046
85	190	2025
86	191	2005
87	191	1985
88	192	1966
89	192	1947
90	193	1928
91	193	1910
92	194	1892
93	194	1874
94	194	1857
95	195	1840
96	195	1823
97	196	1807
98	196	1791
99	197	1775
100	197	1760
101	198	1745
102	198	1731
103	199	1717
104	199	1702
105	200	1689
106	200	1675
107	201	1662
108	201	1648
109	202	1635
110	202	1623
111	203	1610
112	203	1598
113	204	1586
114	204	1574
115	205	1563
116	205	1551
117	206	1540
118	206	1528
119	206	1517
120	207	1507
121	207	1495
122	208	1485
123	208	1475
124	209	1465
125	209	1455
126	210	1445
127	210	1435
128	211	1426
129	211	1416
130	212	1407
131	212	1398
132	213	1389
133	213	1380
134	214	1371
135	214	1363
136	215	1354
137	215	1346
138	216	1338
139	216	1330
140	216	1321
141	217	1313
142	217	1305
143	218	1297
144	218	1290
145	219	1282
146	219	1275
147	220	1268
148	220	1260
149	221	1253
150	221	1246
151	222	1240
152	222	1233
153	223	1226
154	223	1220
155	224	1213
156	224	1206
157	225	1200
158	225	1193
159	226	1187
160	226	1180
161	227	1174
162	227	1168
163	227	1162
164	228	1156
165	228	1150
166	229	1144
167	229	1138
168	230	1132
169	230	1127
170	231	1121
171	231	1116
172	232	1110
173	232	1105
174	233	1099
175	233	1094
176	234	1089
